MEDIA OUTLET,MEDIA TYPE,ESTIMATED AUDIENCE SIZE,REGION,STATE,Main State,Percentage,Other Key States,Percentage2,GENDER:,MALE,FEMALE,AGE GROUP OF LISTENERS:,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,SOCIAL CLASS:,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARITAL STATUS:,MARRIED,SINGLE,OTHERS,LITERACY LEVEL(EDUCATION):,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"---DEGREE, HND OR HIGHER",AUDIENCE INCOME (PERSONAL):,"N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",---Don't Know/Refused,RELIGION:,CHRISTIANITY,ISLAM,OTHERS_2,AUDIENCE OCCUPATION:,WORKING,SELF -MPLOYED,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED,PROGRAMME WITH HIGHEST AUDIENCE:,Program Name (Highest),Percentage_3,Program Name (Second),Percentage_4,TIME:,Main peak period,Percentage_5,Subsidiary peak period,Percentage_6
MiTV Lagos,TV,514679,SOUTH WEST,,Lagos,100%,,,,63%,37%,,18%,9%,25%,27%,21%,,6%,11%,26%,58%,0%,,65%,35%,0%,,18%,27%,42%,14%,,17%,27%,25%,0%,4%,0%,28%,,76%,24%,,,42%,10%,41%,7%,0%,,Kiddies,,Home Video Films,50%,,003:00 - 06:00 pm:00 - 09:00 am,36%,06:00 - 09:00 pm,40%
"NTA Channel 10, Lagos",TV,764761,SOUTH WEST,,Lagos,100%,,,,53%,47%,,10%,8%,25%,44%,14%,,8%,16%,42%,30%,4%,,68%,32%,0%,,7%,35%,37%,21%,,8%,14%,28%,6%,6%,0%,38%,,68%,32%,,,54%,14%,25%,8%,0%,,Kiddies,,Home Video Films,53%,,003:00 - 06:00 pm:00 - 09:00 am,35%,03:00 - 06:00 pm,52%
"NTA 2, Channel 5 Lagos",TV,145479,SOUTH WEST,,Lagos,100%,,,,39%,61%,,7%,2%,34%,31%,26%,,9%,18%,18%,55%,0%,,68%,32%,0%,,0%,47%,35%,18%,,10%,31%,0%,0%,10%,0%,50%,,74%,26%,,,45%,9%,38%,9%,0%,,Kiddies,,Musicals,68%,,003:00 - 06:00 pm:00 - 09:00 am,57%,06:00 - 09:00 pm,63%
Silverbird TV Lagos,TV,389413,SOUTH WEST,,Lagos,100%,,,,54%,46%,,8%,7%,20%,40%,28%,,4%,21%,24%,47%,4%,,80%,20%,0%,,3%,25%,55%,17%,,8%,23%,20%,4%,0%,0%,46%,,62%,38%,,,59%,11%,21%,7%,3%,,Kiddies,,Foreign movie,82%,,03:00 - 06:00 pm,49%,003:00 - 06:00 pm:00 - 09:00 am,53%
TV Continental (TVC),TV,1711401,SOUTH WEST,,Lagos,96%,OGUN,,,44%,56%,,9%,7%,24%,35%,24%,,6%,9%,35%,50%,0%,,78%,22%,0%,,3%,31%,48%,17%,,4%,17%,21%,1%,4%,1%,52%,,65%,35%,,,60%,11%,23%,5%,2%,,Kiddies,4%,Home Video Films,48%,,06:00 - 09:00 pm,31%,03:00 - 06:00 pm,32%
ON TV,TV,2601374,SOUTH WEST,,Lagos,99%,OGUN,,,52%,48%,,12%,8%,21%,39%,20%,,7%,16%,36%,40%,1%,,77%,23%,0%,,7%,35%,45%,14%,,5%,22%,26%,1%,3%,2%,40%,,78%,22%,,,56%,12%,29%,2%,1%,,Home Video Films,1%,Home Video Films,47%,,06:00 - 09:00 pm,50%,003:00 - 06:00 pm:00 - 09:00 am,37%
"WAZOBIA MAX, Lagos",TV,800359,SOUTH WEST,,Lagos,100%,,,,47%,53%,,13%,8%,27%,37%,16%,,10%,10%,22%,58%,0%,,69%,31%,0%,,10%,22%,53%,16%,,8%,14%,16%,2%,6%,0%,54%,,63%,37%,,,60%,5%,34%,2%,0%,,Kiddies,,Musicals,89%,,003:00 - 06:00 pm:00 - 09:00 am,73%,06:00 - 09:00 pm,86%
Kwese Free Sport,TV,97136,SOUTH WEST,,Lagos,100%,,,,87%,13%,,11%,18%,21%,49%,0%,,0%,14%,29%,57%,0%,,66%,34%,0%,,3%,28%,45%,25%,,0%,0%,51%,0%,0%,0%,49%,,86%,14%,,,31%,22%,36%,7%,4%,,Kiddies,,Musicals,100%,,06:00 - 09:00 pm,63%,003:00 - 06:00 pm:00 - 09:00 am,61%
"Silverbird TV, Benin",TV,607176,SOUTH SOUTH,,Edo,100%,,,,51%,49%,,11%,6%,53%,27%,5%,,2%,29%,36%,24%,9%,,27%,72%,1%,,2%,25%,46%,26%,,9%,23%,48%,10%,4%,0%,5%,,83%,15%,,,56%,16%,28%,0%,0%,,Kiddies,,Sports,100%,,06:00 - 09:00 pm,100%,12:00 - 03:00 pm,68%
"EBS Channel 55, Benin",TV,652330,SOUTH SOUTH,,Edo,100%,,,,50%,50%,,12%,5%,53%,30%,1%,,6%,34%,38%,12%,10%,,31%,66%,3%,,3%,34%,34%,28%,,11%,23%,38%,16%,2%,0%,10%,,81%,14%,,,42%,16%,41%,0%,0%,,Kiddies,,Sports,100%,,06:00 - 09:00 pm,100%,,100%
ITV Benin,TV,668294,SOUTH SOUTH,,Edo,100%,,,,52%,48%,,8%,4%,53%,27%,9%,,2%,29%,28%,33%,8%,,36%,63%,1%,,0%,35%,36%,29%,,8%,29%,42%,13%,2%,0%,6%,,86%,12%,,,42%,22%,35%,0%,1%,,Kiddies,,Politics,98%,,12:00 - 03:00 pm,70%,09:00 - 12:00 noon,61%
NTA Benin,TV,782351,SOUTH SOUTH,,Edo,100%,,,,61%,39%,,16%,7%,44%,29%,5%,,11%,31%,32%,17%,9%,,35%,64%,1%,,2%,33%,31%,33%,,16%,20%,44%,13%,2%,0%,5%,,87%,10%,,,42%,11%,45%,0%,1%,,Kiddies,,Politics,83%,,09:00 - 12:00 noon,83%,12:00 - 03:00 pm,73%
AIT Benin,TV,535357,SOUTH SOUTH,,Edo,100%,,,,59%,41%,,11%,5%,55%,25%,7%,,15%,30%,36%,13%,6%,,41%,56%,3%,,16%,13%,38%,33%,,6%,23%,47%,17%,0%,0%,7%,,89%,11%,,,38%,12%,47%,0%,3%,,,,,,,,,,
"Channels TV, Benin",TV,585339,SOUTH SOUTH,,Edo,100%,,,,55%,45%,,8%,6%,57%,24%,5%,,12%,22%,29%,29%,8%,,41%,58%,1%,,20%,9%,34%,37%,,11%,26%,49%,11%,1%,0%,3%,,88%,12%,,,36%,23%,40%,0%,1%,,Musicals,,Religious programme,75%,,06:00 - 09:00 pm,75%,09:00 - 12 midnight,75%
DBS TV Warri,TV,2896620,SOUTH SOUTH,,Delta,100%,,,,52%,48%,,8%,9%,31%,39%,13%,,6%,37%,26%,23%,8%,,47%,41%,12%,,24%,9%,35%,33%,,17%,6%,22%,20%,4%,2%,30%,,89%,9%,,,39%,12%,50%,0%,0%,,,,,,,,,,
Delta TV Asaba,TV,1208730,SOUTH SOUTH,,Delta,100%,,,,45%,55%,,10%,8%,30%,41%,11%,,7%,30%,32%,24%,8%,,48%,39%,13%,,0%,31%,16%,54%,,20%,6%,25%,17%,6%,2%,25%,,89%,8%,,,39%,30%,26%,0%,5%,,,,,,,,,,
NTA Asaba,TV,770279,SOUTH SOUTH,,Delta,100%,,,,50%,50%,,7%,3%,29%,44%,17%,,3%,33%,25%,24%,14%,,44%,36%,20%,,40%,13%,36%,11%,,24%,11%,19%,15%,1%,1%,29%,,85%,7%,,,44%,20%,29%,0%,7%,,,,,,,,,,
Bayelsa TV,TV,631473,SOUTH SOUTH,,Bayelsa,96%,IMO,,,47%,53%,,6%,5%,57%,27%,5%,,13%,0%,46%,25%,16%,,0%,100%,0%,,1%,26%,14%,58%,,17%,28%,32%,19%,4%,0%,0%,,84%,16%,,,44%,30%,18%,0%,7%,,,4%,,,,,,,
NTA Yenagoa,TV,868472,SOUTH SOUTH,,Bayelsa,95%,IMO,,,46%,54%,,9%,4%,52%,32%,5%,,20%,6%,45%,15%,12%,,57%,43%,0%,,3%,45%,15%,36%,,8%,16%,58%,14%,3%,0%,0%,,100%,0%,,,52%,1%,44%,4%,0%,,,5%,,,,,,,
AIT Bayelsa,TV,544185,SOUTH SOUTH,,Bayelsa,90%,IMO,,,50%,50%,,19%,6%,38%,33%,3%,,1%,43%,14%,7%,36%,,71%,29%,0%,,4%,42%,32%,22%,,48%,3%,42%,6%,0%,0%,1%,,97%,3%,,,55%,0%,42%,3%,0%,,,10%,,,,,,,
NigerDelta TV,TV,138435,SOUTH SOUTH,,Bayelsa,80%,IMO,,,47%,53%,,21%,7%,34%,32%,5%,,2%,0%,24%,53%,20%,,12%,88%,0%,,1%,21%,48%,30%,,0%,32%,10%,58%,0%,0%,0%,,100%,0%,,,45%,13%,42%,0%,0%,,Soap Opera,20%,,100%,,09:00 - 12:00 noon,,0003:00 - 06:00 pm:00 - 09:00 am:00 - 003:00 - 06:00 pm:00 am,100%
CRTV Calabar,TV,1741335,SOUTH SOUTH,,Cross Rivers,94%,Abia,,,45%,55%,,15%,8%,43%,28%,7%,,16%,17%,26%,28%,13%,,14%,80%,7%,,19%,46%,10%,26%,,13%,10%,25%,13%,17%,1%,21%,,97%,2%,,,28%,44%,28%,0%,0%,,Kiddies,6%,Sports,60%,,03:00 - 06:00 pm,23%,09:00 - 12:00 noon,35%
NTA Calabar,TV,1793753,SOUTH SOUTH,,Cross Rivers,100%,,,,51%,49%,,11%,7%,44%,35%,5%,,28%,23%,26%,10%,12%,,24%,74%,2%,,18%,22%,33%,27%,,6%,10%,7%,2%,20%,8%,46%,,100%,0%,,,36%,29%,34%,0%,0%,,Kiddies,,Sports,45%,,09:00 - 12 midnight,27%,06:00 - 09:00 pm,62%
AKBC Uyo,TV,3104690,SOUTH SOUTH,,Akwa-Ibom,100%,,,,65%,35%,,19%,12%,43%,17%,8%,,11%,7%,28%,40%,14%,,26%,63%,10%,,6%,28%,36%,30%,,25%,3%,34%,10%,8%,2%,18%,,98%,2%,,,32%,26%,40%,0%,3%,,Kiddies,,Talk-show,51%,,003:00 - 06:00 pm:00 - 09:00 am,16%,09:00 - 12 midnight,58%
NTA Uyo,TV,1561612,SOUTH SOUTH,,Akwa-Ibom,100%,,,,61%,39%,,14%,15%,44%,20%,8%,,3%,13%,23%,56%,4%,,29%,67%,3%,,3%,24%,28%,45%,,5%,4%,40%,6%,1%,1%,42%,,98%,0%,,,15%,26%,48%,5%,6%,,Kiddies,,Musicals,33%,,09:00 - 12 midnight,29%,003:00 - 06:00 pm:00 - 09:00 am,76%
NTA Port Harcourt,TV,1339636,SOUTH SOUTH,,Rivers,98%,IMO,,,52%,48%,,8%,7%,34%,40%,13%,,14%,26%,39%,13%,8%,,35%,63%,2%,,6%,28%,36%,30%,,5%,9%,72%,5%,4%,1%,4%,,95%,5%,,,22%,17%,57%,0%,4%,,Educational,2%,Sports,36%,,06:00 - 09:00 pm,26%,03:00 - 06:00 pm,75%
RSTV Port Harcourt,TV,782560,SOUTH SOUTH,,Rivers,100%,,,,50%,50%,,3%,7%,38%,46%,5%,,16%,25%,41%,8%,10%,,18%,78%,4%,,3%,24%,28%,45%,,3%,7%,67%,12%,8%,0%,3%,,96%,4%,,,51%,39%,11%,0%,0%,,Kiddies,,Religious programme,40%,,06:00 - 09:00 pm,27%,09:00 - 12:00 noon,72%
AIT Port Harcourt,TV,1334694,SOUTH SOUTH,,Rivers,100%,,,,53%,47%,,6%,5%,42%,42%,6%,,11%,28%,33%,20%,7%,,26%,73%,1%,,4%,25%,39%,31%,,2%,6%,72%,4%,8%,3%,5%,,97%,2%,,,47%,41%,12%,0%,0%,,Kiddies,,Fashion & Style,40%,,06:00 - 09:00 pm,26%,03:00 - 06:00 pm,66%
"STV CH 31, P/Harcourt",TV,1365760,SOUTH SOUTH,,Rivers,100%,,,,47%,53%,,5%,7%,42%,43%,4%,,17%,27%,36%,14%,6%,,33%,67%,0%,,6%,25%,33%,36%,,4%,11%,67%,5%,10%,2%,1%,,96%,4%,,,45%,45%,10%,0%,0%,,Drama,,Kiddies,57%,,06:00 - 09:00 pm,32%,12:00 - 03:00 pm,50%
"WAZOBIA MAX, P/H",TV,1344020,SOUTH SOUTH,,Rivers,100%,,,,48%,52%,,5%,6%,32%,37%,22%,,11%,27%,34%,14%,13%,,32%,67%,0%,,5%,26%,40%,29%,,4%,6%,79%,2%,5%,2%,2%,,98%,2%,,,45%,45%,10%,0%,0%,,Drama,,Kiddies,66%,,06:00 - 09:00 pm,24%,12:00 - 03:00 pm,80%
NTA Aba,TV,1504357,SOUTH EAST,,Abia,100%,,,,59%,41%,,11%,8%,38%,25%,19%,,2%,10%,20%,35%,33%,,58%,42%,0%,,6%,45%,17%,32%,,18%,3%,27%,4%,3%,1%,44%,,95%,5%,,,39%,16%,41%,4%,0%,,Kiddies,,Business,100%,,06:00 - 09:00 pm,50%,,100%
BCA TV Umuahia,TV,601464,SOUTH EAST,,Abia,100%,,,,42%,58%,,16%,8%,38%,19%,19%,,1%,13%,14%,28%,44%,,57%,43%,0%,,10%,42%,14%,34%,,30%,1%,18%,6%,3%,0%,42%,,88%,12%,,,36%,20%,43%,1%,0%,,,,,,,,,,
NTA Umuahia,TV,1161743,SOUTH EAST,,Abia,100%,,,,45%,55%,,13%,6%,32%,32%,19%,,5%,16%,25%,27%,26%,,65%,35%,0%,,8%,36%,16%,39%,,19%,1%,20%,6%,7%,4%,43%,,90%,10%,,,44%,18%,35%,3%,0%,,Kiddies,,,100%,,06:00 - 09:00 pm,,,100%
NTA Awka,TV,468278,SOUTH EAST,,Anambra,95%,Abia,,,58%,42%,,8%,5%,82%,7%,0%,,35%,22%,20%,12%,10%,,22%,74%,4%,,19%,44%,20%,17%,,11%,0%,17%,56%,12%,0%,3%,,90%,10%,,,12%,34%,48%,0%,6%,,,5%,,,,,,,
"NTA Channel 35, Onitsha",TV,1992922,SOUTH EAST,,Anambra,99%,EBONYI,,,49%,51%,,6%,8%,76%,8%,2%,,26%,19%,24%,18%,14%,,18%,81%,1%,,16%,55%,20%,8%,,4%,7%,16%,49%,21%,0%,3%,,87%,12%,,,15%,32%,44%,0%,9%,,,1%,,,,,,,
"ABS TV, Onitsha",TV,1636780,SOUTH EAST,,Anambra,99%,EBONYI,,,52%,48%,,7%,9%,75%,6%,3%,,24%,20%,24%,15%,18%,,15%,83%,1%,,14%,63%,13%,10%,,4%,9%,16%,44%,26%,0%,1%,,91%,8%,,,10%,28%,51%,0%,11%,,,1%,,,,,,,
"ABS TV, Awka",TV,976024,SOUTH EAST,,Anambra,95%,EBONYI,,,49%,51%,,7%,13%,66%,8%,6%,,30%,24%,20%,16%,10%,,15%,85%,1%,,11%,48%,26%,14%,,4%,4%,19%,54%,15%,2%,3%,,92%,7%,,,16%,32%,47%,0%,5%,,,5%,,,,,,,
ETV Enugu,TV,1071105,SOUTH EAST,,Enugu,99%,EBONYI,,,42%,58%,,22%,14%,34%,28%,2%,,5%,30%,35%,29%,0%,,24%,75%,1%,,13%,41%,8%,37%,,9%,29%,46%,11%,0%,3%,2%,,100%,0%,,,35%,9%,56%,0%,0%,,Musicals,1%,Kiddies,100%,,06:00 - 09:00 pm,100%,0003:00 - 06:00 pm:00 - 09:00 am:00 - 003:00 - 06:00 pm:00 am,100%
NTA Enugu,TV,1277919,SOUTH EAST,,Enugu,99%,EBONYI,,,56%,44%,,8%,3%,45%,41%,4%,,3%,2%,74%,13%,8%,,22%,78%,0%,,4%,22%,23%,52%,,6%,56%,21%,11%,6%,0%,0%,,94%,6%,,,65%,0%,35%,0%,0%,,Comedy,1%,Foreign movie,67%,,09:00 - 12 midnight,33%,,100%
AIT Enugu,TV,1530958,SOUTH EAST,,Enugu,99%,EBONYI,,,46%,54%,,10%,7%,48%,28%,7%,,3%,6%,48%,37%,6%,,35%,65%,0%,,0%,44%,43%,13%,,39%,28%,22%,5%,0%,2%,5%,,92%,8%,,,42%,30%,28%,0%,0%,,,1%,,,,,,,
NTA Abakiliki,TV,1160029,SOUTH EAST,,Ebonyi,98%,Enugu,,,51%,49%,,8%,7%,43%,34%,8%,,30%,22%,23%,10%,15%,,24%,67%,9%,,12%,43%,8%,38%,,9%,10%,34%,16%,25%,5%,0%,,96%,2%,,,32%,25%,37%,2%,4%,,Kiddies,2%,,100%,,12:00 - 03:00 pm,,,100%
EBBS TV Abakiliki,TV,1340351,SOUTH EAST,,Ebonyi,100%,,,,53%,47%,,11%,7%,39%,36%,8%,,33%,17%,25%,12%,14%,,20%,73%,7%,,14%,41%,11%,33%,,9%,11%,31%,20%,25%,5%,0%,,97%,2%,,,30%,27%,36%,2%,4%,,,,,,,,,,
Orient TV Owerri,TV,1940911,SOUTH EAST,,Imo,100%,,,,50%,50%,,18%,14%,48%,12%,8%,,3%,31%,22%,40%,5%,,27%,68%,4%,,30%,29%,27%,14%,,11%,2%,41%,16%,10%,0%,19%,,98%,2%,,,9%,31%,53%,2%,5%,,Variety Show,,Kiddies,60%,,06:00 - 09:00 pm,40%,,100%
NTA Owerri,TV,2593479,SOUTH EAST,,Imo,100%,,,,56%,44%,,10%,7%,44%,28%,12%,,9%,21%,49%,19%,2%,,40%,60%,0%,,13%,35%,34%,19%,,2%,2%,24%,13%,9%,2%,47%,,98%,1%,,,12%,49%,33%,4%,2%,,Variety Show,,,100%,,,,,
